architecture,seed,sha256,best_epoch,best_validation_loss
Standard U-Net,41,3444f3a3bf0d10cb2bfda9b642839145310bb07af6ddd3317cb56b72618590ef,35,0.34556978940963745
Standard U-Net,42,0fcd43c5e625a3e46f1ebfe2b8c425f96eda5107b4250af6906cc71ee970f98d,55,0.3431504815816879
Standard U-Net,43,bbd12a39ce591589895ac7b54b7d65aa2d194f8c1d71126d824fd0862cda5b9f,35,0.34414638578891754
S2D Replacement,41,6ee1d8f2e42fa85f9d8de4981cc8adc69d87d66d6ff00cc6faee1812773cc206,35,0.3436538875102997
S2D Replacement,42,f66702f80b996ebe73215333806fb75d2bb177b517b100d3984c61d3b1570759,25,0.34071675688028336
S2D Replacement,43,b9a722d25341e7aee423151afbd490af742a6744ca94f2c812be86166cd1cf85,35,0.34410787373781204
PMR-2,41,09fd381d4fcf90de9ef823f269354041cb546670c2c51160aa137dd4959098d4,35,0.3439382016658783
PMR-2,42,3377f7058b300cfc5c154287404c0a9083da201ca3695a486f302867c9e559ad,55,0.34231648594141006
PMR-2,43,857ab8363144c003489f80b5a96effd04930425fffaafbc4e73cd6588541ddd0,35,0.34292327612638474
DPD-2,41,adcc37b84ee9ba14c04291363fb108254158c222d3c197fef5bb0aceeb662a69,40,0.343973346054554
DPD-2,42,6bd243bdfb08503c348b887a944384f8136b3b4b9d9e396b2b62b4a607af6c7a,55,0.3417152911424637
DPD-2,43,cae980bedcabb3e4dad27414216ce5296bfa1a7c1685c192c515c5ebf5d4be06,35,0.3424936830997467
DPD-4,41,58857935b4535f13175840f7b30deb4d110ef16d95d0d0144fd5786c67778f00,35,0.3426770865917206
DPD-4,42,1a3ab3dbb503fa792ad57c0184bb69c15dca50c14adf057c682f22069e96ab25,25,0.3426266014575958
DPD-4,43,f185fbbcda26b0f94fba4c1f940038a08bd4e14e030ab9093f458dc97479cd49,35,0.3429465889930725
LMFR-Net Controlled,41,7fc089941b18e5e7046ff8252fad6c505ba31268dfd032bb873613cdbf8ab653,130,0.3632686138153076
LMFR-Net Controlled,42,a8e9fa360014fbf9f26a53c91484ad43f6af58691099771709745285e4fee15d,115,0.3586847558617592
LMFR-Net Controlled,43,75b8e977a1d59761d5384cb97a5c0e386d4364c36adb606b235f16fbea19c04b,140,0.3611176088452339
Spatial-AttVesNet Controlled,41,c0c44d45b87adddff53fca92180f314182c036c4e5cb5b023803d2dbaa4090b9,35,0.34501585364341736
Spatial-AttVesNet Controlled,42,81ba1c2a04a825adab45081ec95452894f7bc9e886d7c2d6591406923e101731,35,0.35110822319984436
Spatial-AttVesNet Controlled,43,606efa6b13c2fe8f76c6ced53ddfb15fbbe8c86de7f135747877a04defbab8a4,25,0.3494499996304512
