architecture,seed,AUC,accuracy,sensitivity,specificity,precision,F1,IoU,thin_FN,far_FP,recovered,partial,missed,length_weighted_coverage,long_branch_coverage,params,GMACs
Standard U-Net,41,0.976900129459371,0.955160218460677,0.788502465150924,0.97882165725379,0.840916183577163,0.813866324966249,0.686150593391669,16592,1175,373,50,131,0.680794430794431,0.52431011826544,17261825,200.172127232
Standard U-Net,42,0.977129791834201,0.954897836339703,0.807478806796013,0.975827833745855,0.825867713878887,0.81656974528433,0.690002424756767,16370,980,357,45,152,0.648853398853399,0.496714848883049,17261825,200.172127232
Standard U-Net,43,0.977434802298402,0.954550565885473,0.805332884049232,0.975735929155409,0.824937325146241,0.81501723023907,0.687788254004317,16113,1163,368,51,135,0.674856674856675,0.536136662286465,17261825,200.172127232
S2D Replacement,41,0.977244665215296,0.955245106793933,0.792084914695137,0.978409975047274,0.838937205327122,0.814838127035385,0.687533193248205,16509,974,362,46,146,0.661138411138411,0.513797634691196,17344129,202.870375424
S2D Replacement,42,0.976986007604397,0.955138169542948,0.80898627318838,0.97588826416149,0.826495021878369,0.817646927023817,0.691542099996968,15512,1225,370,45,139,0.672809172809173,0.529566360052562,17344129,202.870375424
S2D Replacement,43,0.977202802491909,0.954711522984894,0.802841130777143,0.976273508061166,0.827707891464931,0.815084895298799,0.687884635840083,16266,1055,364,47,143,0.664823914823915,0.526938239159001,17344129,202.870375424
PMR-2,41,0.977136444815866,0.954919885257432,0.799719788600007,0.976954609204056,0.831276327068605,0.815192779633287,0.688038328616004,15898,1238,381,48,125,0.692055692055692,0.536136662286465,17426433,205.568623616
PMR-2,42,0.976664270323791,0.954679552054187,0.815051608555315,0.974503400469847,0.819447787673736,0.817243786093119,0.690965540052923,15732,1152,359,49,146,0.659295659295659,0.507227332457293,17426433,205.568623616
PMR-2,43,0.977649510192361,0.954747903699147,0.803515056929025,0.976219372480492,0.827502442855447,0.815332358564841,0.688237215272556,16115,1160,370,46,138,0.672604422604423,0.519053876478318,17426433,205.568623616
DPD-2,41,0.977302612338299,0.95438740389428,0.815565920618593,0.9740967541313,0.817189110423997,0.816376708680987,0.689726803002692,15253,1336,377,51,126,0.68959868959869,0.549277266754271,17426433,205.568623616
DPD-2,42,0.977379406907867,0.954599073504477,0.818102011137516,0.973978411234014,0.81697187588552,0.817536552946389,0.691384207252643,15328,1264,373,43,138,0.678951678951679,0.526938239159001,17426433,205.568623616
DPD-2,43,0.977703377924937,0.954646478677594,0.809624729542794,0.975236119259425,0.822749677849567,0.816134438758408,0.689381012065659,15855,1053,369,53,132,0.68018018018018,0.540078843626807,17426433,205.568623616
DPD-4,41,0.977392453502028,0.95519329183727,0.795135317277338,0.977917718953245,0.836394332565363,0.815243134634355,0.688110074283259,16187,1134,376,46,132,0.684479934479934,0.534822601839685,19001345,209.568941056
DPD-4,42,0.976700382627358,0.954992646685937,0.802947540169546,0.97657943704032,0.829569503357672,0.81604145544666,0.689248334919125,16178,1120,369,49,136,0.666052416052416,0.505913272010513,19001345,209.568941056
DPD-4,43,0.977481210474043,0.954403940582576,0.815335366935055,0.974148371777989,0.817444723997831,0.816388682947619,0.689743897498987,15503,1084,368,48,138,0.672194922194922,0.525624178712221,19001345,209.568941056
