dataset,metric,seed41_effect,seed42_effect,seed43_effect,three_seed_mean_effect,sample_sd_across_seeds,historical_case_bootstrap_mean,historical_case_bootstrap_ci_2_5,historical_case_bootstrap_ci_97_5,historical_case_bootstrap_ci_zero,two_way_bootstrap_mean,two_way_bootstrap_ci_2_5,two_way_bootstrap_ci_97_5,two_way_bootstrap_ci_zero,effective_independent_unit_n
DRIVE,auc,0.00038362617560418476,-0.00017925067762510904,0.0002466092099014494,0.00015032823596017504,0.0002935304199442338,0.00015032823596020095,-1.7524761631860506e-05,0.00033807405813839395,CI includes zero,0.00015032823596017504,-0.00019228272231473998,0.0005230475058771522,CI includes zero,20
DRIVE,sensitivity,0.021323248355954887,0.011732657396154927,0.004412023027110229,0.01248930959307335,0.008480965596031231,0.012489309593073372,0.01115266634509432,0.013837781679794952,CI excludes zero,0.012489309593073348,0.004571542079386524,0.02078967672556505,CI excludes zero,20
DRIVE,f1,0.0016255515935111376,-0.0006422844697367369,0.0013723256297378749,0.0007851975845040919,0.0012427025422710523,0.0007851975845040826,-0.0009127119602800081,0.0023221444261205255,CI includes zero,0.0007851975845040919,-0.0013161997838613915,0.0031829063380062576,CI includes zero,20
DRIVE,iou,0.0021871704954902873,-0.0009768249707909292,0.0019677843009402395,0.0010593766085465325,0.0017668107508621482,0.0010593766085465583,-0.0014053690694108634,0.003320975348539589,CI includes zero,0.0010593766085465325,-0.0020244191264932126,0.004474474728705901,CI includes zero,20
DRIVE,thin_fn_pixels,281.25,274.8,65.1,207.04999999999998,122.97460103614894,207.0499999999999,183.1329166666667,231.08374999999998,CI excludes zero,207.05,68.64750000000001,305.71666666666664,CI excludes zero,20
DRIVE,far_fp_pixels,-15.35,-44.5,26.75,-11.033333333333333,35.8206062669706,-11.033333333333331,-40.9,32.64999999999999,CI includes zero,-11.033333333333333,-59.98375,45.21874999999997,CI includes zero,20
DRIVE,missed_segments,0.5,4.0,0.25,1.5833333333333333,2.096624270901521,1.5833333333333333,0.7666666666666663,2.4000000000000004,CI excludes zero,1.5833333333333333,-0.26666666666666666,3.933333333333333,CI includes zero,20
DRIVE,length_weighted_coverage,0.002424786189283756,0.03611533935313455,0.002864028176572153,0.013801384572996818,0.019325699646542502,0.013801384572996811,0.010636723449540338,0.016966186020949948,CI excludes zero,0.01380138457299682,-0.0007029373539983347,0.03394642882162058,CI includes zero,20
DRIVE,long_branch_coverage,-0.010863278216230437,0.06531303562152146,0.014830610672426062,0.023093456025905696,0.0387545307993602,0.02309345602590571,0.014203117287698583,0.033240369473809685,CI excludes zero,0.023093456025905696,-0.01200861601596077,0.06495836571218064,CI includes zero,20
STARE,auc,0.0005876529522980345,0.00021507540700558826,-9.885471976444626e-05,0.00023462454651305886,0.0003436710965323874,0.00023462454651305699,-0.00010149401000911341,0.0005855376347905651,CI includes zero,0.00023462454651305883,-0.00018356138730584102,0.0008487557186539168,CI includes zero,20
STARE,sensitivity,-0.001589967579655721,0.006036811595300506,-0.012023979386346157,-0.0025257117902337907,0.009066683828247522,-0.0025257117902337868,-0.006839639987917601,0.0016592586891125702,CI includes zero,-0.0025257117902337902,-0.013552551946991467,0.007313052076644168,CI includes zero,20
STARE,f1,0.0018419910928197613,-0.0001840850108132508,-0.0019232989886756203,-8.846430222303658e-05,0.0018844653988294253,-8.84643022230236e-05,-0.001975292813681715,0.0016776117179306746,CI includes zero,-8.846430222303655e-05,-0.003244312918864475,0.0031914415643121818,CI includes zero,20
STARE,iou,0.0025417389691012315,-0.0003331635287387669,-0.0024385332304059314,-7.665259668115556e-05,0.0025000252376715672,-7.665259668117041e-05,-0.0028741369016065444,0.002536093860562115,CI includes zero,-7.665259668115561e-05,-0.0045129294738414155,0.0045987590433128386,CI includes zero,20
STARE,thin_fn_pixels,-13.5,98.25,-241.2,-52.15,172.99405336600447,-52.14999999999999,-111.10041666666666,7.656666666666564,CI includes zero,-52.15,-236.05708333333334,117.56999999999995,CI includes zero,20
STARE,far_fp_pixels,142.5,-118.3,50.4,24.866666666666664,132.26157164245907,24.866666666666667,-35.06750000000001,85.45083333333334,CI includes zero,24.866666666666667,-117.9425,192.45041666666665,CI includes zero,20
STARE,missed_segments,0.15,0.85,-0.45,0.18333333333333335,0.6506407098647712,0.18333333333333315,-0.316666666666667,0.7333333333333331,CI includes zero,0.18333333333333332,-0.7166666666666667,1.2166666666666666,CI includes zero,20
STARE,length_weighted_coverage,0.0006381565298290481,0.010512652897617358,-0.008259564203390019,0.0009637484080187957,0.009390342979635823,0.0009637484080187942,-0.004692828377684235,0.006487569175650626,CI includes zero,0.000963748408018796,-0.011248229328848364,0.013615377568718423,CI includes zero,20
STARE,long_branch_coverage,-0.001238208946363772,0.0009432985831006079,0.0036581830123278325,0.0011210908830215562,0.002453033047009016,0.001121090883021554,-0.011741013444875612,0.018858571665708302,CI includes zero,0.0011210908830215562,-0.015745913100243918,0.0202704526727014,CI includes zero,17
CHASE_DB1,auc,4.0231747828982965e-05,-0.00023859241704122475,-0.0001849183679030832,-0.00012775967903844165,0.00014793939811096927,-0.0001277596790384575,-0.00028553110287622756,4.515131373153221e-05,CI includes zero,-0.00012775967903844165,-0.0004041550973124277,0.00018389986875656035,CI includes zero,14
CHASE_DB1,sensitivity,-0.0025528468310810825,0.0014842860232966754,0.001284069805307399,7.183633250766395e-05,0.002275245682427758,7.183633250764019e-05,-0.0028403338641971804,0.003108817398254635,CI includes zero,7.183633250766399e-05,-0.004301220339610793,0.0043796896367906115,CI includes zero,14
