dataset,metric,mean_oriented_effect,ci_2_5,ci_97_5,n_seeds,n_units,n_bootstrap,bootstrap_seed
DRIVE,auc,0.00015032823596017504,-0.00019228272231473998,0.0005230475058771522,3,20,10000,20265840
DRIVE,sensitivity,0.012489309593073348,0.004571542079386524,0.02078967672556505,3,20,10000,20265840
DRIVE,f1,0.0007851975845040919,-0.0013161997838613915,0.0031829063380062576,3,20,10000,20265840
DRIVE,iou,0.0010593766085465325,-0.0020244191264932126,0.004474474728705901,3,20,10000,20265840
DRIVE,thin_fn_pixels,207.05,68.64750000000001,305.71666666666664,3,20,10000,20265840
DRIVE,far_fp_pixels,-11.033333333333333,-59.98375,45.21874999999997,3,20,10000,20265840
DRIVE,missed_segments,1.5833333333333333,-0.26666666666666666,3.933333333333333,3,20,10000,20265840
DRIVE,length_weighted_coverage,0.01380138457299682,-0.0007029373539983347,0.03394642882162058,3,20,10000,20265840
DRIVE,long_branch_coverage,0.023093456025905696,-0.01200861601596077,0.06495836571218064,3,20,10000,20265840
STARE,auc,0.00023462454651305883,-0.00018356138730584102,0.0008487557186539168,3,20,10000,20265840
STARE,sensitivity,-0.0025257117902337902,-0.013552551946991467,0.007313052076644168,3,20,10000,20265840
STARE,f1,-8.846430222303655e-05,-0.003244312918864475,0.0031914415643121818,3,20,10000,20265840
STARE,iou,-7.665259668115561e-05,-0.0045129294738414155,0.0045987590433128386,3,20,10000,20265840
STARE,thin_fn_pixels,-52.15,-236.05708333333334,117.56999999999995,3,20,10000,20265840
STARE,far_fp_pixels,24.866666666666667,-117.9425,192.45041666666665,3,20,10000,20265840
STARE,missed_segments,0.18333333333333332,-0.7166666666666667,1.2166666666666666,3,20,10000,20265840
STARE,length_weighted_coverage,0.000963748408018796,-0.011248229328848364,0.013615377568718423,3,20,10000,20265840
STARE,long_branch_coverage,0.0011210908830215562,-0.015745913100243918,0.0202704526727014,3,17,10000,20265840
CHASE_DB1,auc,-0.00012775967903844165,-0.0004041550973124277,0.00018389986875656035,3,14,10000,20265840
CHASE_DB1,sensitivity,7.183633250766399e-05,-0.004301220339610793,0.0043796896367906115,3,14,10000,20265840
CHASE_DB1,f1,0.000501502763008556,-0.0015419224542233914,0.003058425522527927,3,14,10000,20265840
CHASE_DB1,iou,0.0006366423986828772,-0.0022555981809828387,0.004148337134857755,3,14,10000,20265840
CHASE_DB1,thin_fn_pixels,84.73809523809524,-252.95714285714286,409.7142857142857,3,14,10000,20265840
CHASE_DB1,far_fp_pixels,248.42857142857142,-147.2642857142857,1031.072023809524,3,14,10000,20265840
CHASE_DB1,missed_segments,-0.5238095238095238,-7.785714285714286,6.381547619047611,3,14,10000,20265840
CHASE_DB1,length_weighted_coverage,-0.0017846199086616306,-0.023885385293227743,0.02030170781418603,3,14,10000,20265840
CHASE_DB1,long_branch_coverage,-0.004434955320201787,-0.03068068919104113,0.020944616968157494,3,14,10000,20265840
