architecture,seed,dataset,evaluation_status,n_images,structural_configuration,AUC,accuracy,sensitivity,specificity,precision,F1,IoU,thin_FN,far_FP,recovered,partial,missed,length_weighted_coverage,long_branch_coverage
Standard U-Net,41,DRIVE,official test,20,D0,0.9794102330103287,0.9559222792230214,0.8162396195613599,0.9762953813337427,0.8339494359565744,0.8249994969515263,0.7021269308490599,75510.0,4810.0,2218.0,302.0,695.0,0.7318215764817707,0.7630057803468208
Standard U-Net,42,DRIVE,official test,20,D0,0.9798823632754579,0.9557125017876255,0.8327115601342684,0.9736525292046901,0.8217365604991083,0.8271876582634932,0.7053026548464951,74659.0,4336.0,2129.0,312.0,774.0,0.7007264580080114,0.6996531791907514
Standard U-Net,43,DRIVE,official test,20,D0,0.9798715889658316,0.95590795618384,0.8264603591454326,0.9747882461127324,0.8270244519319885,0.8267423093174844,0.7046553505535056,74914.0,3974.0,2169.0,294.0,752.0,0.7161382307013375,0.7329479768786127
DPD-2,41,DRIVE,official test,20,D0,0.9799301184841058,0.9552733353708774,0.8378167364610689,0.9724047050696201,0.8157773638654542,0.8266501779821402,0.7045215011500277,69885.0,5117.0,2218.0,312.0,685.0,0.733179441917306,0.7468208092485549
DPD-2,42,DRIVE,official test,20,D0,0.9796715678438811,0.9548667814125734,0.8444366734816472,0.9709733179749799,0.809273527245217,0.8264812601184178,0.7042761500355901,69163.0,5226.0,2247.0,274.0,694.0,0.7391879964695499,0.770635838150289
DPD-2,43,DRIVE,official test,20,D0,0.9801322906565935,0.9560804937173641,0.8308471061146129,0.9743461295484857,0.8252880283385494,0.828058237267607,0.7065694419294193,73612.0,3439.0,2164.0,304.0,747.0,0.7200081471926132,0.7468208092485549
LMFR-Net Controlled,41,DRIVE,official test,20,D0,0.976105923934094,0.9543901547395047,0.8239761516076372,0.9734113976690787,0.818838996478419,0.821399541988158,0.6969278998701228,75668.0,4987.0,2078.0,351.0,786.0,0.691662706225813,0.681849710982659
LMFR-Net Controlled,42,DRIVE,official test,20,D0,0.9768073136078695,0.9551358341947356,0.8114702873198084,0.9760898514175251,0.8319327134518077,0.8215741089659887,0.697179275520752,80314.0,3860.0,2060.0,365.0,790.0,0.6903048407902777,0.6839306358381503
LMFR-Net Controlled,43,DRIVE,official test,20,D0,0.9757677046250782,0.9546574446860754,0.8230326720897985,0.9738552816896074,0.8211548094029052,0.8220926683722125,0.6979264380977547,76275.0,4127.0,2071.0,345.0,799.0,0.6887093489035236,0.6806936416184971
Spatial-AttVesNet Controlled,41,DRIVE,official test,20,D0,0.979138963389247,0.9547330262620636,0.8356112448909285,0.9721072674267403,0.8137615715179235,0.8245416840335905,0.7014639930942077,68075.0,7370.0,2299.0,273.0,643.0,0.7564328875008487,0.7895953757225433
Spatial-AttVesNet Controlled,42,DRIVE,official test,20,D0,0.9784739979020636,0.9558502233182162,0.808265919269314,0.9773758021095348,0.8389874518640712,0.8233402048766209,0.6997266400100711,80117.0,4384.0,2156.0,281.0,778.0,0.7075836784574648,0.7149132947976878
Spatial-AttVesNet Controlled,43,DRIVE,official test,20,D0,0.9787308881054717,0.9549121744290561,0.826977974513935,0.9735717312032287,0.820271235567644,0.8236109518706989,0.7001178336201009,74144.0,6525.0,2212.0,272.0,731.0,0.7219091588023627,0.72
