metric,favorable_direction,effect_definition,seed41_effect,seed42_effect,seed43_effect,mean_effect,sample_SD
AUC,higher,DPD-2 minus PMR-2,0.0006480696487528581,0.0001672896669547841,9.904117560577408e-05,0.0003048001637711388,0.00029923221523185824
accuracy,higher,DPD-2 minus PMR-2,-0.00017209682462626663,-0.000447099176909993,-7.271696815192019e-05,-0.0002306376565627266,0.0001939349924884701
sensitivity,higher,DPD-2 minus PMR-2,0.013045984672352962,0.007149670474630776,0.0054583319628356275,0.008551329036606456,0.003983290530871585
specificity,higher,DPD-2 minus PMR-2,-0.0020999905567335997,-0.001555109034378055,-0.0008794357471567649,-0.0015115117794228066,0.0006114442339862325
precision,higher,DPD-2 minus PMR-2,-0.009346206887677955,-0.007083385216236082,-0.004041738022443009,-0.006823776708785682,0.00266174659169824
F1,higher,DPD-2 minus PMR-2,0.0017030544352145682,-0.00020824204719427364,0.0007036600811348714,0.0007328241563850554,0.000955981939359213
IoU,higher,DPD-2 minus PMR-2,0.0024704359783491725,-0.0003024791435198848,0.0010240476520932962,0.0010640014956408612,0.0013868892531428707
thin_FN,lower,PMR-2 minus DPD-2,2688.0,3369.0,1244.0,2433.6666666666665,1085.0900116272996
far_FP,lower,PMR-2 minus DPD-2,835.0,-479.0,398.0,251.33333333333334,669.1654005799563
recovered,higher,DPD-2 minus PMR-2,-9.0,82.0,-5.0,22.666666666666668,51.42308171758411
partial,lower,PMR-2 minus DPD-2,-9.0,34.0,7.0,10.666666666666666,21.73323108360405
missed,lower,PMR-2 minus DPD-2,0.0,48.0,-12.0,12.0,31.74901573277509
length_weighted_coverage,higher,DPD-2 minus PMR-2,-0.0026478375992938785,0.022846085952882067,0.004175436214271189,0.008124561522619792,0.013197792525525904
long_branch_coverage,higher,DPD-2 minus PMR-2,-0.008554913294797739,0.027976878612716805,0.023815028901734037,0.014412331406551035,0.019998774840797793
