observer,architecture,seed,image_id,AUC,accuracy,sensitivity,specificity,precision,F1,IoU,thin_FN,far_FP,recovered,partial,missed,length_weighted_coverage,long_branch_coverage
OBSERVER_1,Standard U-Net,41,01,0.9863200058829042,0.9542421905988582,0.890656874745002,0.9638345344036109,0.7879207146509459,0.8361448475079398,0.7184268984998492,2466,104,145,10,13,0.8845177664974619,0.8451327433628318
OBSERVER_1,Standard U-Net,41,02,0.9859784221838443,0.9561147467423707,0.860154790499066,0.9730252294057399,0.8489273903245632,0.8545042125729099,0.745968882602546,2750,351,110,7,28,0.786697247706422,1.0
OBSERVER_1,Standard U-Net,41,03,0.9759771820807215,0.9455625600836408,0.7454844006568144,0.9796827438148527,0.8622072167123865,0.7996086105675146,0.6661232474731007,4430,137,87,10,42,0.6732283464566929,0.8368200836820083
OBSERVER_1,Standard U-Net,41,04,0.9740846114665003,0.9566168813192897,0.798734469235079,0.980905928998043,0.8655096064566816,0.8307824149455824,0.7105456037995836,3929,80,106,19,63,0.5900767867690491,0.4961832061068702
OBSERVER_1,Standard U-Net,41,05,0.9719600224249301,0.9522998071965322,0.7516020454398343,0.983810564292792,0.879359309326366,0.8104769050901286,0.6813460861401244,5572,51,90,17,60,0.5953360768175583,0.7724550898203593
OBSERVER_1,Standard U-Net,41,06,0.9725723456364376,0.9490503254959363,0.7325027254321756,0.9846310531541398,0.8867647058823529,0.8022857142857143,0.6698473282442748,6021,99,87,25,74,0.5222968845448992,0.6144578313253012
OBSERVER_1,Standard U-Net,41,07,0.9762159486514955,0.9553003184363676,0.7723261677282378,0.9832228865342655,0.8753901109231058,0.8206348367084368,0.6958276047582043,4872,128,100,14,51,0.6314432989690721,0.5037037037037037
OBSERVER_1,Standard U-Net,41,08,0.9764011065238204,0.952834209404745,0.7402776306029458,0.9833906274595429,0.8649964918073383,0.7977921583555386,0.6636058514343613,4897,106,85,20,39,0.659156976744186,0.7467811158798283
OBSERVER_1,Standard U-Net,41,09,0.976842882873412,0.9585785820961082,0.7700074794315632,0.983675094565001,0.8625890238793464,0.8136731871171705,0.6858760826115923,4352,35,94,21,55,0.6293045239702904,0.9904761904761905
OBSERVER_1,Standard U-Net,41,10,0.9775067791447921,0.955716749071842,0.8005671773718327,0.9767609151763413,0.8237144264655728,0.8119758689602361,0.6834674883662433,4044,160,122,33,60,0.6449119793902963,0.6849056603773584
OBSERVER_1,Standard U-Net,41,11,0.9745572668695469,0.9511663023343605,0.828056750076186,0.96950287722979,0.8017507048718117,0.8146914299991671,0.6873243395165823,3951,332,154,25,60,0.7106382978723405,0.7938388625592417
OBSERVER_1,Standard U-Net,41,12,0.9839483378393054,0.9583576810702753,0.8327834327834328,0.9763252391833865,0.8342475386779185,0.8335148427893905,0.7145524635586074,3128,127,131,16,25,0.7861386138613862,0.6227544910179641
OBSERVER_1,Standard U-Net,41,13,0.976873387080099,0.9510373626373626,0.7946483938980529,0.9768704416946652,0.8501907447337868,0.821481802009712,0.6970463446475196,4463,89,109,21,49,0.6722993361496681,0.6178010471204188
OBSERVER_1,Standard U-Net,41,14,0.9840073905100362,0.9582030869499766,0.8579099545642297,0.9716097036988701,0.8015647475704312,0.8287807886240796,0.7076222628302413,2390,427,137,10,15,0.8665794637017659,0.9342723004694836
OBSERVER_1,Standard U-Net,41,15,0.9824635105557932,0.9594184543127787,0.8618075554802642,0.9707285236183765,0.7733145853918066,0.8151664463405841,0.6880008114413226,2348,823,110,12,18,0.8412356321839081,0.898989898989899
OBSERVER_1,Standard U-Net,41,16,0.9862944184741264,0.9600033378130298,0.8459266221342016,0.9771756870790236,0.848004576351033,0.8469643247239913,0.73455170805643,4024,386,116,10,8,0.8873106060606061,0.8307692307692308
OBSERVER_1,Standard U-Net,41,17,0.9825354061079264,0.9579031715393742,0.8067932928799684,0.9791549893199618,0.8448003609293931,0.8253595107348161,0.7026486131523813,4557,177,94,9,12,0.8450226244343891,1.0
OBSERVER_1,Standard U-Net,41,18,0.9864405818209884,0.9584292568054409,0.884562423500612,0.9680147715766275,0.7820764288129861,0.8301683598377427,0.7096477230882533,2704,258,111,8,5,0.9395555555555556,0.9578947368421052
OBSERVER_1,Standard U-Net,41,19,0.9900108159195409,0.9668408183369395,0.9208901231410093,0.9731278215787342,0.8242142787062171,0.8698743614524368,0.7697147394783459,1936,356,106,10,10,0.8682926829268293,0.9587628865979382
OBSERVER_1,Standard U-Net,41,20,0.9871887604872924,0.960676503034858,0.8751236399604352,0.9708893579128107,0.7820706419653052,0.8259846348341924,0.7035552168582884,2676,584,124,5,8,0.9116465863453815,0.8418604651162791
OBSERVER_1,Standard U-Net,42,01,0.9855032505930295,0.9506232813523667,0.9058547531619747,0.9573769650962993,0.7622521671959488,0.8278722908412958,0.7062987116271672,2310,138,145,8,15,0.8642131979695431,0.8008849557522124
OBSERVER_1,Standard U-Net,42,02,0.9873570337496003,0.9569410938881411,0.8847374195652818,0.9696651407788299,0.8371257821048792,0.8602733406377948,0.7548067192875936,2528,237,109,10,26,0.7775229357798165,1.0
OBSERVER_1,Standard U-Net,42,03,0.9778985447569571,0.9496116990878362,0.7696588213829593,0.9802998325044985,0.869495018893851,0.8165365507452094,0.6899550224887556,4509,79,76,19,44,0.6047244094488189,0.7196652719665272
OBSERVER_1,Standard U-Net,42,04,0.9749367323728533,0.9568805283486468,0.8310648254951719,0.9762363487025564,0.843265115034778,0.8371205205238436,0.7198686839851556,3762,174,105,16,67,0.5794447725930302,0.46564885496183206
OBSERVER_1,Standard U-Net,42,05,0.9725026948986448,0.953718383964373,0.7754870865428183,0.9817017708783251,0.8693491038386184,0.8197399931577147,0.6945418707788632,5484,55,87,15,65,0.5637860082304527,0.5748502994011976
OBSERVER_1,Standard U-Net,42,06,0.9735573095293183,0.9513316542050734,0.7553963557078337,0.9835255944399521,0.8828218848968002,0.8141533503424198,0.6865587136224663,5840,84,83,20,83,0.5051924251679902,0.6144578313253012
OBSERVER_1,Standard U-Net,42,07,0.9753951964415787,0.9545756011859009,0.7759089702760085,0.9818408249844328,0.8670299525504152,0.8189425770308123,0.6933977646675166,5165,86,83,17,65,0.5373711340206185,0.43333333333333335
