config_id,metric,DPD_favored_images,Standard_favored_images,tied_images,jointly_undefined_images
D0_PRIMARY,thin_FN,20,0,0,0
D0_PRIMARY,missed,15,5,0,0
D0_PRIMARY,length_weighted_coverage,20,0,0,0
D0_PRIMARY,long_branch_coverage,17,1,2,0
RHO_1,thin_FN,20,0,0,0
RHO_1,missed,15,2,3,0
RHO_1,length_weighted_coverage,20,0,0,0
RHO_1,long_branch_coverage,17,1,2,1
RHO_3,thin_FN,20,0,0,0
RHO_3,missed,14,6,0,0
RHO_3,length_weighted_coverage,20,0,0,0
RHO_3,long_branch_coverage,17,1,2,0
TOL_0,thin_FN,20,0,0,0
TOL_0,missed,17,2,1,0
TOL_0,length_weighted_coverage,20,0,0,0
TOL_0,long_branch_coverage,18,0,2,0
TOL_2,thin_FN,20,0,0,0
TOL_2,missed,14,5,1,0
TOL_2,length_weighted_coverage,20,0,0,0
TOL_2,long_branch_coverage,16,2,2,0
MINBR_3,thin_FN,20,0,0,0
MINBR_3,missed,17,3,0,0
MINBR_3,length_weighted_coverage,20,0,0,0
MINBR_3,long_branch_coverage,17,1,2,0
MINBR_7,thin_FN,20,0,0,0
MINBR_7,missed,14,4,2,0
MINBR_7,length_weighted_coverage,20,0,0,0
MINBR_7,long_branch_coverage,17,1,2,0
LONGBR_15,thin_FN,20,0,0,0
LONGBR_15,missed,15,5,0,0
LONGBR_15,length_weighted_coverage,20,0,0,0
LONGBR_15,long_branch_coverage,19,1,0,0
LONGBR_25,thin_FN,20,0,0,0
LONGBR_25,missed,15,5,0,0
LONGBR_25,length_weighted_coverage,20,0,0,0
LONGBR_25,long_branch_coverage,14,1,5,2
FARFP_3,thin_FN,20,0,0,0
FARFP_3,missed,15,5,0,0
FARFP_3,length_weighted_coverage,20,0,0,0
FARFP_3,long_branch_coverage,17,1,2,0
FARFP_7,thin_FN,20,0,0,0
FARFP_7,missed,15,5,0,0
FARFP_7,length_weighted_coverage,20,0,0,0
FARFP_7,long_branch_coverage,17,1,2,0
