config_id,rho,branch_tolerance,min_branch_length,long_branch_threshold,far_fp_distance,architecture,seed,images,thin_FN,far_FP,recovered,partial,missed,evaluated_branches,evaluated_centerline_pixels,length_weighted_coverage,long_branches,long_centerline_pixels,long_branch_coverage
D0_PRIMARY,2,1,5,20,5,Standard U-Net,41,20,75510,4810,2218,302,695,3215,29458,0.7318215764817707,166,4325,0.7630057803468208
D0_PRIMARY,2,1,5,20,5,Standard U-Net,42,20,74659,4336,2129,312,774,3215,29458,0.7007264580080114,166,4325,0.6996531791907514
D0_PRIMARY,2,1,5,20,5,Standard U-Net,43,20,74914,3974,2169,294,752,3215,29458,0.7161382307013375,166,4325,0.7329479768786127
D0_PRIMARY,2,1,5,20,5,DPD-2,41,20,69885,5117,2218,312,685,3215,29458,0.733179441917306,166,4325,0.7468208092485549
D0_PRIMARY,2,1,5,20,5,DPD-2,42,20,69163,5226,2247,274,694,3215,29458,0.7391879964695499,166,4325,0.770635838150289
D0_PRIMARY,2,1,5,20,5,DPD-2,43,20,73612,3439,2164,304,747,3215,29458,0.7200081471926132,166,4325,0.7468208092485549
RHO_1,1,1,5,20,5,Standard U-Net,41,20,50299,4810,1098,271,675,2044,20216,0.6223288484368816,138,3674,0.721012520413718
RHO_1,1,1,5,20,5,Standard U-Net,42,20,52202,4336,1013,283,748,2044,20216,0.5780075187969925,138,3674,0.6475231355470876
RHO_1,1,1,5,20,5,Standard U-Net,43,20,51912,3974,1052,273,719,2044,20216,0.6009596359319351,138,3674,0.6856287425149701
RHO_1,1,1,5,20,5,DPD-2,41,20,48797,5117,1091,286,667,2044,20216,0.6218836565096952,138,3674,0.7019597169297768
RHO_1,1,1,5,20,5,DPD-2,42,20,48601,5226,1126,250,668,2044,20216,0.6331618519984171,138,3674,0.730811105062602
RHO_1,1,1,5,20,5,DPD-2,43,20,51604,3439,1052,280,712,2044,20216,0.6070933913731698,138,3674,0.7019597169297768
RHO_3,3,1,5,20,5,Standard U-Net,41,20,98004,4810,3539,311,697,4547,39828,0.8000903886712866,186,4836,0.7876344086021505
RHO_3,3,1,5,20,5,Standard U-Net,42,20,91075,4336,3453,319,775,4547,39828,0.7777945164206086,186,4836,0.7311827956989247
RHO_3,3,1,5,20,5,Standard U-Net,43,20,93763,3974,3491,304,752,4547,39828,0.7888922366174551,186,4836,0.760752688172043
RHO_3,3,1,5,20,5,DPD-2,41,20,87496,5117,3539,321,687,4547,39828,0.8012202470623682,186,4836,0.7731596360628619
RHO_3,3,1,5,20,5,DPD-2,42,20,84579,5226,3571,283,693,4547,39828,0.8061665160188812,186,4836,0.7944582299421009
RHO_3,3,1,5,20,5,DPD-2,43,20,91448,3439,3487,311,749,4547,39828,0.7915787887918048,186,4836,0.7731596360628619
TOL_0,2,0,5,20,5,Standard U-Net,41,20,75510,4810,1795,562,858,3215,29458,0.6332744924977934,166,4325,0.6411560693641618
TOL_0,2,0,5,20,5,Standard U-Net,42,20,74659,4336,1687,609,919,3215,29458,0.6016362278498201,166,4325,0.5782658959537572
TOL_0,2,0,5,20,5,Standard U-Net,43,20,74914,3974,1724,585,906,3215,29458,0.6113449657138977,166,4325,0.5995375722543352
TOL_0,2,0,5,20,5,DPD-2,41,20,69885,5117,1782,597,836,3215,29458,0.6315432140674859,166,4325,0.618728323699422
