config_id,thin_FN_mean_effect,thin_FN_seed_positive_count,thin_FN_direction,missed_mean_effect,missed_seed_positive_count,missed_direction,LW_coverage_mean_effect,LW_coverage_seed_positive_count,LW_coverage_direction,long_coverage_mean_effect,long_coverage_seed_positive_count,long_coverage_direction,far_FP_mean_effect,far_FP_seed_positive_count,far_FP_direction
D0_PRIMARY,4141.0,3,positive in all 3 seeds,31.666666666666668,3,positive in all 3 seeds,0.014563106796116498,3,positive in all 3 seeds,0.02289017341040463,2,positive in 2/3 seeds,-220.66666666666666,1,positive in 1/3 seeds
RHO_1,1803.6666666666667,3,positive in all 3 seeds,31.666666666666668,3,positive in all 3 seeds,0.020280965571824277,2,positive in 2/3 seeds,0.026855380148793295,2,positive in 2/3 seeds,-220.66666666666666,1,positive in 1/3 seeds
RHO_3,6439.666666666667,3,positive in all 3 seeds,31.666666666666668,3,positive in all 3 seeds,0.010729470054567961,3,positive in all 3 seeds,0.0204025365315688,2,positive in 2/3 seeds,-220.66666666666666,1,positive in 1/3 seeds
TOL_0,4141.0,3,positive in all 3 seeds,37.666666666666664,3,positive in all 3 seeds,0.015309932785660988,2,positive in 2/3 seeds,0.022273603082851645,2,positive in 2/3 seeds,-220.66666666666666,1,positive in 1/3 seeds
TOL_2,4141.0,3,positive in all 3 seeds,27.0,3,positive in all 3 seeds,0.01353339217416886,3,positive in all 3 seeds,0.021811175337186905,2,positive in 2/3 seeds,-220.66666666666666,1,positive in 1/3 seeds
MINBR_3,4141.0,3,positive in all 3 seeds,57.0,3,positive in all 3 seeds,0.013288630450346636,3,positive in all 3 seeds,0.02289017341040463,2,positive in 2/3 seeds,-220.66666666666666,1,positive in 1/3 seeds
MINBR_7,4141.0,3,positive in all 3 seeds,21.666666666666668,3,positive in all 3 seeds,0.017157403728718768,3,positive in all 3 seeds,0.02289017341040463,2,positive in 2/3 seeds,-220.66666666666666,1,positive in 1/3 seeds
LONGBR_15,4141.0,3,positive in all 3 seeds,31.666666666666668,3,positive in all 3 seeds,0.014563106796116498,3,positive in all 3 seeds,0.02265529841656518,2,positive in 2/3 seeds,-220.66666666666666,1,positive in 1/3 seeds
LONGBR_25,4141.0,3,positive in all 3 seeds,31.666666666666668,3,positive in all 3 seeds,0.014563106796116498,3,positive in all 3 seeds,0.021034297963558417,2,positive in 2/3 seeds,-220.66666666666666,1,positive in 1/3 seeds
FARFP_3,4141.0,3,positive in all 3 seeds,31.666666666666668,3,positive in all 3 seeds,0.014563106796116498,3,positive in all 3 seeds,0.02289017341040463,2,positive in 2/3 seeds,-388.6666666666667,1,positive in 1/3 seeds
FARFP_7,4141.0,3,positive in all 3 seeds,31.666666666666668,3,positive in all 3 seeds,0.014563106796116498,3,positive in all 3 seeds,0.02289017341040463,2,positive in 2/3 seeds,-114.66666666666667,1,positive in 1/3 seeds
