model,seed,fold,subject,case,tp,tn,fp,fn,auc,accuracy,sensitivity,specificity,precision,f1,iou,thin_gt_pixels,thin_fn_pixels,far_fp_pixels,evaluated_segments,recovered_segments,partial_segments,missed_segments,mean_tolerant_centerline_coverage,median_tolerant_centerline_coverage,evaluated_centerline_pixels,length_weighted_coverage,long_segments,long_centerline_pixels,long_branch_coverage
unet_standard,41,0,Subject_05,Image_05L,65918,578577,11569,9724,0.9904216174425999,0.9680183481829051,0.8714470796647366,0.9803963764898855,0.8506975363609379,0.8609473058662958,0.755845019550286,9810,2266,998,90,69,9,12,0.8140515207475822,1.0,1663,0.8598917618761275,27,1067,0.9203373945641987
unet_standard,41,0,Subject_05,Image_05R,70407,573753,10376,11108,0.9889413250434975,0.9677244893666885,0.863730601729743,0.9822368004327812,0.8715571345456345,0.8676262184376887,0.7662012601887018,9070,2946,742,118,71,17,30,0.6725098011207455,1.0,1543,0.7193778353856124,18,608,0.7713815789473685
unet_standard,41,0,Subject_09,Image_09L,40597,600742,15552,7891,0.9834081926765629,0.9647358081295824,0.8372587031842931,0.9747652905918279,0.7230226718196228,0.7759587908674752,0.6339319175515303,7509,2464,6365,90,54,10,26,0.6580678898705508,1.0,1171,0.6524338172502135,15,466,0.6523605150214592
unet_standard,41,0,Subject_09,Image_09R,38598,601984,13671,10085,0.9822613189892002,0.9642410941418375,0.7928434977302138,0.9777943815935873,0.7384491763760547,0.7646802440763928,0.619014016743112,7919,3143,5667,93,47,9,37,0.5503495112278979,0.8125,1313,0.6024371667936025,18,583,0.6843910806174958
unet_standard,41,0,Subject_12,Image_12L,60012,568762,20975,8915,0.9819759057004138,0.9546202616204924,0.8706602637573084,0.9644332982329411,0.7410078160692457,0.8006190215723682,0.6675268625837023,11247,4362,1291,110,59,16,35,0.6053874635465544,0.898989898989899,1468,0.6028610354223434,23,652,0.5705521472392638
unet_standard,41,0,Subject_12,Image_12R,62048,575013,18744,8435,0.9860981037740394,0.9590825605202938,0.8803257523090674,0.9684315300703823,0.7679968313694425,0.8203338291191539,0.6953948916807693,15132,5132,1157,152,102,22,28,0.7367464917638483,1.0,2020,0.7485148514851485,32,932,0.7896995708154506
unet_standard,41,1,Subject_01,Image_01L,57200,589140,7941,9570,0.9920518361391848,0.9736220929094028,0.85667215815486,0.9867002969446357,0.8780952088546384,0.8672514043559673,0.7656168435705586,10607,3840,1770,125,72,17,36,0.6516085196708559,0.95,1812,0.5960264900662252,29,939,0.536741214057508
unet_standard,41,1,Subject_01,Image_01R,56597,583496,5759,15986,0.9858715840404891,0.9671445278149637,0.7797555901519639,0.9902266421158921,0.907643209955738,0.8388531114058945,0.7224349646422098,9592,4706,1068,96,44,8,44,0.508698372995672,0.5804195804195804,1366,0.49633967789165445,22,655,0.5267175572519084
unet_standard,41,1,Subject_06,Image_06L,57268,579565,7513,14587,0.9765980762537464,0.9664609300186817,0.7969939461415351,0.9872027226365151,0.8840246368533984,0.8382563892385608,0.7215502469509122,9426,4334,553,112,49,14,49,0.4947875998223154,0.4017857142857143,1540,0.5318181818181819,24,696,0.5933908045977011
unet_standard,41,1,Subject_06,Image_06R,60121,581211,9974,11330,0.9862448102550313,0.967849618795236,0.8414297910456117,0.9831288006292447,0.8577073971039304,0.8494906249558447,0.738360454405895,12688,5115,874,144,81,16,47,0.6246808266461029,1.0,1992,0.6019076305220884,35,1026,0.6130604288499025
