model,seed,case,tp,tn,fp,fn,auc,accuracy,sensitivity,specificity,precision,f1,iou,thin_gt_pixels,thin_fn_pixels,far_fp_pixels,evaluated_segments,recovered_segments,partial_segments,missed_segments,mean_tolerant_centerline_coverage,median_tolerant_centerline_coverage,evaluated_centerline_pixels,length_weighted_coverage,long_segments,long_centerline_pixels,long_branch_coverage
unet_standard,41,01,26196,187914,7051,3216,0.9863200058829042,0.9542421905988582,0.890656874745002,0.9638345344036109,0.7879207146509459,0.8361448475079398,0.7184268984998492,18345,2466,104,168,145,10,13,0.8920940194766926,1.0,1576,0.8845177664974619,8,226,0.8451327433628318
unet_standard,41,02,29007,186202,5162,4716,0.9859784221838443,0.9561147467423707,0.860154790499066,0.9730252294057399,0.8489273903245632,0.8545042125729099,0.745968882602546,14468,2750,351,145,110,7,28,0.784016914458091,1.0,1308,0.786697247706422,5,120,1.0
unet_standard,41,03,24516,188923,3918,8370,0.9759771820807215,0.9455625600836408,0.7454844006568144,0.9796827438148527,0.8622072167123865,0.7996086105675146,0.6661232474731007,12766,4430,137,139,87,10,42,0.6609394226379732,1.0,1270,0.6732283464566929,8,239,0.8368200836820083
unet_standard,41,04,24236,193468,3766,6107,0.9740846114665003,0.9566168813192897,0.798734469235079,0.980905928998043,0.8655096064566816,0.8307824149455824,0.7105456037995836,12866,3929,80,188,106,19,63,0.6030228245888446,1.0,1693,0.5900767867690491,11,262,0.4961832061068702
unet_standard,41,05,23223,193609,3186,7675,0.9719600224249301,0.9522998071965322,0.7516020454398343,0.983810564292792,0.879359309326366,0.8104769050901286,0.6813460861401244,16091,5572,51,167,90,17,60,0.5874277893340388,0.9666666666666667,1458,0.5953360768175583,7,167,0.7724550898203593
unet_standard,41,06,23517,192391,3003,8588,0.9725723456364376,0.9490503254959363,0.7325027254321756,0.9846310531541398,0.8867647058823529,0.8022857142857143,0.6698473282442748,16717,6021,99,186,87,25,74,0.5165210704832024,0.4807692307692308,1637,0.5222968845448992,10,249,0.6144578313253012
unet_standard,41,07,23281,194217,3314,6863,0.9762159486514955,0.9553003184363676,0.7723261677282378,0.9832228865342655,0.8753901109231058,0.8206348367084368,0.6958276047582043,15559,4872,128,165,100,14,51,0.6485336316199294,1.0,1552,0.6314432989690721,10,270,0.5037037037037037
unet_standard,41,08,20958,193666,3271,7353,0.9764011065238204,0.952834209404745,0.7402776306029458,0.9833906274595429,0.8649964918073383,0.7977921583555386,0.6636058514343613,14286,4897,106,144,85,20,39,0.6527142750723463,1.0,1376,0.659156976744186,9,233,0.7467811158798283
unet_standard,41,09,20590,197640,3280,6150,0.976842882873412,0.9585785820961082,0.7700074794315632,0.983675094565001,0.8625890238793464,0.8136731871171705,0.6858760826115923,14533,4352,35,170,94,21,55,0.6017670686572071,1.0,1481,0.6293045239702904,4,105,0.9904761904761905
unet_standard,41,10,21737,195528,4652,5415,0.9775067791447921,0.955716749071842,0.8005671773718327,0.9767609151763413,0.8237144264655728,0.8119758689602361,0.6834674883662433,14801,4044,160,215,122,33,60,0.6391319116353119,1.0,2329,0.6449119793902963,19,530,0.6849056603773584
unet_standard,41,11,24455,192234,6047,5078,0.9745572668695469,0.9511663023343605,0.828056750076186,0.96950287722979,0.8017507048718117,0.8146914299991671,0.6873243395165823,17486,3951,332,239,154,25,60,0.6939755851345737,1.0,2350,0.7106382978723405,16,422,0.7938388625592417
unet_standard,41,12,23726,194401,4714,4764,0.9839483378393054,0.9583576810702753,0.8327834327834328,0.9763252391833865,0.8342475386779185,0.8335148427893905,0.7145524635586074,14767,3128,127,172,131,16,25,0.8016339643883249,1.0,1515,0.7861386138613862,6,167,0.6227544910179641
unet_standard,41,13,25629,190732,4516,6623,0.976873387080099,0.9510373626373626,0.7946483938980529,0.9768704416946652,0.8501907447337868,0.821481802009712,0.6970463446475196,16138,4463,89,179,109,21,49,0.668245207282452,1.0,1657,0.6722993361496681,7,191,0.6178010471204188
unet_standard,41,14,22847,193567,5656,3784,0.9840073905100362,0.9582030869499766,0.8579099545642297,0.9716097036988701,0.8015647475704312,0.8287807886240796,0.7076222628302413,13612,2390,427,162,137,10,15,0.8681441843478881,1.0,1529,0.8665794637017659,8,213,0.9342723004694836
unet_standard,41,15,20349,197817,5965,3263,0.9824635105557932,0.9594184543127787,0.8618075554802642,0.9707285236183765,0.7733145853918066,0.8151664463405841,0.6880008114413226,14842,2348,823,140,110,12,18,0.8251930719656283,1.0,1392,0.8412356321839081,12,297,0.898989898989899
unet_standard,41,16,25201,193386,4517,4590,0.9862944184741264,0.9600033378130298,0.8459266221342016,0.9771756870790236,0.848004576351033,0.8469643247239913,0.73455170805643,18736,4024,386,134,116,10,8,0.8999133950626488,1.0,1056,0.8873106060606061,3,65,0.8307692307692308
unet_standard,41,17,22470,193905,4128,5381,0.9825354061079264,0.9579031715393742,0.8067932928799684,0.9791549893199618,0.8448003609293931,0.8253595107348161,0.7026486131523813,15935,4557,177,115,94,9,12,0.8405960223351527,1.0,884,0.8450226244343891,3,67,1.0
unet_standard,41,18,23126,195024,6444,3018,0.9864405818209884,0.9584292568054409,0.884562423500612,0.9680147715766275,0.7820764288129861,0.8301683598377427,0.7096477230882533,15868,2704,258,124,111,8,5,0.9262934645999161,1.0,1125,0.9395555555555556,8,190,0.9578947368421052
unet_standard,41,19,25202,194646,5375,2165,0.9900108159195409,0.9668408183369395,0.9208901231410093,0.9731278215787342,0.8242142787062171,0.8698743614524368,0.7697147394783459,17024,1936,356,126,106,10,10,0.8834129919774177,1.0,1025,0.8682926829268293,4,97,0.9587628865979382
unet_standard,41,20,21234,197342,5917,3030,0.9871887604872924,0.960676503034858,0.8751236399604352,0.9708893579128107,0.7820706419653052,0.8259846348341924,0.7035552168582884,16078,2676,584,137,124,5,8,0.9177939415228618,1.0,1245,0.9116465863453815,8,215,0.8418604651162791
unet_standard,42,01,26643,186655,8310,2769,0.9855032505930295,0.9506232813523667,0.9058547531619747,0.9573769650962993,0.7622521671959488,0.8278722908412958,0.7062987116271672,18345,2310,138,168,145,8,15,0.8846888339407655,1.0,1576,0.8642131979695431,8,226,0.8008849557522124
unet_standard,42,02,29836,185559,5805,3887,0.9873570337496003,0.9569410938881411,0.8847374195652818,0.9696651407788299,0.8371257821048792,0.8602733406377948,0.7548067192875936,14468,2528,237,145,109,10,26,0.7830997456453846,1.0,1308,0.7775229357798165,5,120,1.0
unet_standard,42,03,25311,189042,3799,7575,0.9778985447569571,0.9496116990878362,0.7696588213829593,0.9802998325044985,0.869495018893851,0.8165365507452094,0.6899550224887556,12766,4509,79,139,76,19,44,0.607225608569356,1.0,1270,0.6047244094488189,8,239,0.7196652719665272
unet_standard,42,04,25217,192547,4687,5126,0.9749367323728533,0.9568805283486468,0.8310648254951719,0.9762363487025564,0.843265115034778,0.8371205205238436,0.7198686839851556,12866,3762,174,188,105,16,67,0.5964563370852483,1.0,1693,0.5794447725930302,11,262,0.46564885496183206
unet_standard,42,05,23961,193194,3601,6937,0.9725026948986448,0.953718383964373,0.7754870865428183,0.9817017708783251,0.8693491038386184,0.8197399931577147,0.6945418707788632,16091,5484,55,167,87,15,65,0.5661905986436493,0.8888888888888888,1458,0.5637860082304527,7,167,0.5748502994011976
unet_standard,42,06,24252,192175,3219,7853,0.9735573095293183,0.9513316542050734,0.7553963557078337,0.9835255944399521,0.8828218848968002,0.8141533503424198,0.6865587136224663,16717,5840,84,186,83,20,83,0.4966720049468998,0.4494949494949495,1637,0.5051924251679902,10,249,0.6144578313253012
unet_standard,42,07,23389,193944,3587,6755,0.9753951964415787,0.9545756011859009,0.7759089702760085,0.9818408249844328,0.8670299525504152,0.8189425770308123,0.6933977646675166,15559,5165,86,165,83,17,65,0.5539144559144559,0.8333333333333334,1552,0.5373711340206185,10,270,0.43333333333333335
unet_standard,42,08,21462,193608,3329,6849,0.9765051329297231,0.9548142491831226,0.7580798982727561,0.9830961170323504,0.8657173974426203,0.8083311363037173,0.6783185840707965,14286,4993,41,144,80,16,48,0.6013781344745635,1.0,1376,0.590843023255814,9,233,0.5622317596566524
unet_standard,42,09,21088,197414,3506,5652,0.9769685599011935,0.9597733462180444,0.7886312640239341,0.982550268763687,0.8574449052614459,0.8215997194841625,0.6972161608146532,14533,4267,41,170,93,21,56,0.6029828881126459,0.9864864864864865,1481,0.6178257933828494,4,105,0.9904761904761905
unet_standard,42,10,22242,195116,5064,4910,0.977131946985044,0.9561258423803072,0.8191661756040071,0.9747027675092417,0.8145462535706438,0.8168496823239928,0.6904022845790911,14801,3967,93,215,113,33,69,0.5965534909255088,0.8571428571428571,2329,0.5753542292829541,19,530,0.5226415094339623
unet_standard,42,11,24790,191707,6574,4743,0.9758008691516301,0.950323509529704,0.8393999932279146,0.9668450330591434,0.790396633082515,0.8141616171568385,0.6865704710997867,17486,3909,241,239,146,25,68,0.6666159684321191,1.0,2350,0.6736170212765957,16,422,0.7725118483412322
unet_standard,42,12,24489,193966,5149,4001,0.9848259394609494,0.9597987741921311,0.8595647595647595,0.9741405720312383,0.8262703286321614,0.842588769611891,0.7279942923392491,14767,2983,100,172,128,13,31,0.7859677346232579,1.0,1515,0.7742574257425743,6,167,0.6347305389221557
unet_standard,42,13,26308,190462,4786,5944,0.9782465014725317,0.9528351648351648,0.8157013518541486,0.975487585020077,0.8460796295105165,0.8306128248034603,0.7102975322641611,16138,4428,117,179,105,22,52,0.6467920065183436,1.0,1657,0.6451418225709112,7,191,0.5130890052356021
unet_standard,42,14,23168,193388,5835,3463,0.9849180774341474,0.9588318117013646,0.8699635762832789,0.9707112130627488,0.7988139158018136,0.8328719847575223,0.7136080823014846,13612,2453,393,162,126,20,16,0.8333577963250592,1.0,1529,0.8351863963374755,8,213,0.9014084507042254
unet_standard,42,15,20513,197831,5951,3099,0.9843106076153137,0.9602012366201395,0.868753176351008,0.9707972244849888,0.7751284764207981,0.8192747024522725,0.693874099380983,14842,2439,490,140,104,11,25,0.7840744016905008,1.0,1392,0.8017241379310345,12,297,0.8619528619528619
unet_standard,42,16,25497,192537,5366,4294,0.9855603558953233,0.9575746396479485,0.855862508811386,0.972885706634058,0.8261348540323364,0.8407359778415273,0.725232528372728,18736,3941,484,134,112,11,11,0.8796365326216071,1.0,1056,0.8664772727272727,3,65,0.7692307692307693
unet_standard,42,17,22517,193505,4528,5334,0.9819647496276213,0.9563404225177524,0.808480844493914,0.9771351239439892,0.8325753374006286,0.820351209559895,0.6954198709039809,15935,4720,165,115,90,9,16,0.8170976849237719,1.0,884,0.8246606334841629,3,67,1.0
unet_standard,42,18,23227,194255,7213,2917,0.985412893926359,0.9554944379030983,0.8884256425948592,0.9641977882343598,0.763042049934297,0.8209741269616853,0.696315615912702,15868,2741,305,124,110,7,7,0.9024414653446912,1.0,1125,0.9128888888888889,8,190,0.9157894736842105
unet_standard,42,19,25408,193083,6938,1959,0.9899033519593499,0.9608730451914789,0.928417437059232,0.9653136420675829,0.785506708712051,0.8510039689849781,0.7406500510129719,17024,1847,344,126,108,14,4,0.8998966711781837,1.0,1025,0.8926829268292683,4,97,0.979381443298969
unet_standard,42,20,21697,196157,7102,2567,0.9871358632773645,0.9575031974789362,0.894205407187603,0.9650593577652158,0.7533942150769124,0.8177826357348812,0.6917362749473953,16078,2373,669,137,126,5,6,0.9368071059739824,1.0,1245,0.9309236947791165,8,215,0.8790697674418605
unet_standard,43,01,26466,187500,7465,2946,0.9862303239598856,0.9536004135896282,0.8998368013055895,0.9617110763470367,0.77999469511656,0.8356408758663152,0.7176831087127478,18345,2406,104,168,144,9,15,0.8849360157061377,1.0,1576,0.8794416243654822,8,226,0.8672566371681416
unet_standard,43,02,29441,185991,5373,4282,0.986979814685831,0.957105474771977,0.8730243454022477,0.9719226186743588,0.8456655368529902,0.8591271867750266,0.7530437896459996,14468,2670,181,145,107,13,25,0.7764219010234278,1.0,1308,0.7828746177370031,5,120,1.0
