model,seed,fold,case,tp,tn,fp,fn,auc,accuracy,sensitivity,specificity,precision,f1,iou,thin_gt_pixels,thin_fn_pixels,far_fp_pixels,evaluated_segments,recovered_segments,partial_segments,missed_segments,mean_tolerant_centerline_coverage,median_tolerant_centerline_coverage,evaluated_centerline_pixels,length_weighted_coverage,long_segments,long_centerline_pixels,long_branch_coverage
unet_standard,41,0,im0236,33888,266886,3736,4469,0.9935422150654513,0.9734447972192285,0.8834893239825846,0.9861947661313567,0.9007016797788645,0.8920124768034113,0.8050744779417005,13589,2736,134,98,82,4,12,0.8513038548752835,1.0,831,0.8628158844765343,2,47,1.0
unet_standard,41,0,im0255,30087,269299,2339,7816,0.9908376720085534,0.967193360491825,0.79378940980925,0.991389275432745,0.9278665268611608,0.8556072175062919,0.7476517071716118,19437,5847,158,132,103,5,24,0.7912650517931267,1.0,1133,0.7917034421888791,4,92,0.532608695652174
unet_standard,41,0,im0291,17307,286144,2031,4111,0.990536079497261,0.9801610501529427,0.8080586422635166,0.9929521991845233,0.8949736270555383,0.8492982628324663,0.7380698537251056,7222,2215,71,46,32,3,11,0.7270456386713475,1.0,412,0.6747572815533981,2,47,0.0425531914893617
unet_standard,41,0,im0324,24243,274639,8122,4018,0.9855944249465609,0.9609673913742436,0.8578252715756697,0.9712760953596854,0.7490498995828827,0.7997558803153763,0.6663276805101284,7363,1537,1289,42,36,2,4,0.8849206349206349,1.0,313,0.8945686900958466,0,0,
unet_standard,41,1,im0044,26155,306964,7918,3341,0.9907895053960114,0.9673062739199368,0.8867304041225929,0.9748540723191544,0.7676165879141843,0.8228853686545329,0.6990698668947453,10327,1863,2964,87,77,7,3,0.9266631835597353,1.0,647,0.9350850077279753,1,20,1.0
unet_standard,41,1,im0081,29296,271598,6896,2317,0.9938298667850802,0.9702908995927212,0.9267073672223453,0.9752382457072684,0.8094606542882405,0.8641250645232652,0.7607572255836298,12852,1182,837,69,65,3,1,0.9593774985079333,1.0,603,0.9635157545605307,3,70,1.0
unet_standard,41,1,im0162,27259,273917,5993,2921,0.9930319060355929,0.9712535070463414,0.9032140490390987,0.9785895466399914,0.8197702393840972,0.8594715600958507,0.7535731070135183,17745,2194,448,174,153,8,13,0.9095321345321344,1.0,1430,0.9216783216783216,5,141,1.0
unet_standard,41,1,im0240,34766,261611,5267,8477,0.9841679071075182,0.9556818145175593,0.8039682723215318,0.9802643904705521,0.8684335423275797,0.8349584514145733,0.716676973819831,10414,3218,1398,50,38,6,6,0.8075714285714285,1.0,369,0.8184281842818428,0,0,
unet_standard,41,2,im0002,21084,278765,2281,7120,0.9800266642204492,0.9696006467259499,0.7475535385051766,0.9918838908933058,0.9023753477423496,0.8177005565359033,0.6916188289322618,13057,5008,26,99,62,6,31,0.6587194645495041,1.0,889,0.6985376827896513,4,92,0.782608695652174
unet_standard,41,2,im0082,30965,271868,5503,2345,0.9948743126645708,0.9747393628834721,0.929600720504353,0.9801601465185618,0.8491005813315784,0.8875290206082146,0.797799706283977,13893,1506,292,106,90,5,11,0.8796128399901985,1.0,843,0.8884934756820878,1,20,1.0
unet_standard,41,2,im0239,31101,270862,3801,5470,0.990677357048182,0.9702121233541322,0.8504279347023598,0.9861612230260356,0.8910950661853189,0.8702866816839926,0.7703606459922718,15247,3951,422,117,97,3,17,0.8368862381682894,1.0,969,0.8142414860681114,4,88,0.6477272727272727
unet_standard,41,2,im0319,14937,288307,3379,3308,0.9915272074850263,0.9784242299092378,0.81869005206906,0.9884156250214271,0.8155164883162263,0.8171001887256913,0.6907602663706992,9439,1991,252,60,53,1,6,0.8971031746031746,1.0,582,0.9123711340206185,4,117,1.0
